"Queries","labels"
"Where can I read old notices?","Notices"
"Does the college offer elective subjects in the 5th semester for CSIT?","College Info"
"What are the internal and external evaluation criteria for my course?","Course"
"Does the college provide counseling?","College Info"
"Does the college have Wi-Fi for students?","College Info"
"How do I attach files in assignment submission?","Assignment"
"How many credit hours do I need to complete my course?","Course"
"Where can I check my assignment submission status?","Assignment"
"Who are the faculty members of the CS department?","College Info"
"Why was my assignment submission rejected?","Assignment"
"Is there any new notice for scholarship?","Notices"
"Is there a late fee for paying tuition after the deadline?","Fees"
"Where can I download my grade sheet?","Marks"
"Where can I view the official notice board online?","College Info"
"Why is my attendance low even though I attended all classes?","Attendance"
"Does the BIM course include accounting courses?","College Info"
"What kind of questions can I ask?","General"
"Where do I upload documents in my profile?","User Info"
"Which semester contains the database management system course?","College Info"
"Is project defense mandatory for completing the CSIT degree?","College Info"
"How can I register for sports activities?","College Info"
"How do I update my profile picture?","User Info"
"How can I get help for a subject in my course?","Course"
"Why am I logged out automatically?","User Info"
"Tell me about the history of this college.","College Info"
"What are the compulsory subjects in my course?","Course"
"What mark did I get in assignments?","Marks"
"Does the college provide additional training for cloud computing?","College Info"
"Does the college conduct internal tests for every subject?","College Info"
"Where is the administrative office located?","College Info"
"Is the library fee included in the semester fee?","Fees"
"What facilities are available in the college canteen?","College Info"
"What sports facilities?","College Info"
"Where can I see todayâ€™s attendance report?","Attendance"
"What subjects are included in this course?","Course"
"Does the college provide transportation facilities?","College Info"
"When will the final exam marks be published?","Marks"
"How do I retrieve my old account?","User Info"
"Can I check attendance for the whole semester?","Attendance"
"How many practical exams are there in my course?","Course"
"Is the grading system based on GPA?","Marks"
"Can I view my attendance percentage online?","Attendance"
"Why does my login show invalid credentials?","User Info"
"Does the college have their own hostel for students?","College Info"
"Where can I see the newest notice?","Notices"
"What subjects do I need to complete to finish my course?","Course"
"When does my course start and end this semester?","Course"
"Where can I see my previous semester marks?","Marks"
"What is the procedure to get a character certificate?","College Info"
"Does the college provide lab sessions for Data Science courses?","College Info"
"What is the hostel fee structure?","Fees"
"Is parking available for students?","College Info"
"Why is today's attendance missing?","Attendance"
"Where can I find elective courses which can be studied in our college?","College Info"
"Is Python taught in the first year for CS students?","College Info"
"What is the dress code for students?","College Info"
"How do I verify my email?","User Info"
"How many credit hours does the BSc CSIT program have?","College Info"
"Does the college provide counseling?","College Info"
"How do I update my guardian's contact number?","User Info"
"What documents are required to pay my fees?","Fees"
"Are there student exchange programs?","College Info"
"Where do I submit my assignment files?","Assignment"
"Is there a scholarship program available?","College Info"
"Where can I submit my assignment offline?","College Info"
"When will internal marks be released?","Marks"
"What facilities are available in the college canteen?","College Info"
"What are the cultural programs in college?","College Info"
"What is the vision and mission of the college?","College Info"
"Can you show me my subject list with credit hours?","Course"
"Does the college publish a yearly magazine?","College Info"
"Does the college organize industrial visits?","College Info"
"What should I ask you?","General"
"Is project defense mandatory for completing the CSIT degree?","College Info"
"How many labs are available for practical classes?","College Info"
"What are the elective subjects available for my course?","Course"
"Does the college offer elective subjects in the 5th semester for CSIT?","College Info"
"I was present the whole week, but you marked me absent.","Attendance"
"How long is each subject taught in this course?","Course"
"How can I know if my assignment was accepted?","Assignment"
"Where can I see my best friend's attendance?","Attendance"
"Can parents visit during regular class hours?","College Info"
"Why is my attendance not updating?","Attendance"
"Where can I download the syllabus for this course?","College Info"
"What are the passing criteria for my course?","Course"
"Does the college have a seminar hall?","College Info"
"What are the internal and external evaluation criteria for my course?","Course"
"Tell me a general FAQ for students.","General"
"How long is each subject taught in this course?","Course"
"How do I attach files in assignment submission?","Assignment"
"Do engineering students get mathematics in every semester?","College Info"
"Is there a lost and found department?","College Info"
"Who handles student grievances in the college?","College Info"
"Does the college provide transportation facilities?","College Info"
"Does the college provide lab sessions for Data Science courses?","College Info"
"Where do I pay exam fees?","Fees"
"Can I request rechecking?","Marks"
"What mark did I get in assignments?","Marks"
"Why was my assignment submission rejected?","Assignment"
"How can I request a fee refund?","Fees"
"Does the college publish a yearly magazine?","College Info"
"Who is the principal of our college?","College Info"
"Does the college have Wi-Fi for students?","College Info"
"What subjects are included in this course?","Course"
"Does the college provide extra classes for competitive exams like GRE or GMAT?","College Info"
"How many credit hours is this course worth?","Course"
"Why is today's attendance missing?","Attendance"
"How often is attendance updated in the system?","Attendance"
"Where can I read old notices?","Notices"
"Where can I read old notices?","Notices"
"When is the next fee deadline?","Fees"
"What facilities are available in the college canteen?","College Info"
"Which programming languages are taught in the BCA curriculum?","College Info"
"How can I apply for a college ID card?","College Info"
"Where can I submit my assignment offline?","College Info"
"Does the college conduct internal tests for every subject?","College Info"
"Does the college provide additional training for cloud computing?","College Info"
"Can I check attendance for the whole semester?","Attendance"
"What is the procedure to get a character certificate?","College Info"
"Tell me something useful.","General"
"Any notice related to exam forms?","Notices"
"How do I update my email ID in the student portal?","User Info"
"How do I retrieve my old account?","User Info"
"Can you assist me?","General"
"Is the grading system based on GPA?","Marks"
"Where can I see my attendance percentage online?","Attendance"
"When will the final exam marks be published?","Marks"
"Does the college have a hostel?","College Info"
"What are the compulsory subjects in my course?","Course"
"What facilities are available in the college canteen?","College Info"
"Where can I download the syllabus for this course?","College Info"
"Is Statistics included in the BSc CSIT course?","College Info"
"How do I update my profile picture?","User Info"
"Are certificates provided for workshops related to AI and Machine Learning?","College Info"
"What is the hostel fee structure?","Fees"
"What documents are required to pay my fees?","Fees"
"Why am I logged out automatically?","User Info"
"Tell me a general FAQ for students.","General"
"What is the dress code for students?","College Info"
"Where is my lab class attendance record?","Attendance"
"Where can I see the newest notice?","Notices"
"Why does my login show invalid credentials?","User Info"
"How do I check marks for my mid-term exam?","Marks"
"How do I attach files in assignment submission?","Assignment"
"Is there a medical room available on campus?","College Info"
"How do I resubmit my assignment?","Assignment"
"How many absents are allowed?","Attendance"
"Does the college provide transportation facilities?","College Info"
"Tell me something useful.","General"
"Where can I see my previous semester marks?","Marks"
"Can I pay my fees in installments?","Fees"
"Where can I get my fee structure details?","College Info"
"Who is the coordinator of the BCA program?","College Info"
"Does the college provide lab sessions for Data Science courses?","College Info"
"How do I verify my email?","User Info"
"What are the elective subjects available for my course?","Course"
"How many semesters are there in a BSc CSIT course?","College Info"
"What is the vision and mission of the college?","College Info"
"Does the college have their own hostel for students?","College Info"
"How can I get details about the BCA course?","College Info"
"What subjects do I need to complete to finish my course?","Course"
"What type of questions can I ask?","General"
"Where can I download my grade sheet?","Marks"
"Are there online resources or LMS provided for course materials?","College Info"
"Does the college provide counseling?","College Info"
"Can you show me my subject list with credit hours?","Course"
"Is there any urgent update today?","Notices"
"What is the procedure to get a character certificate?","College Info"
"How many credit hours does the BSc CSIT program have?","College Info"
"Where can I see the list of toppers?","College Info"
"When will internal marks be released?","Marks"
"How can I request a fee refund?","Fees"
"Why was my assignment submission rejected?","Assignment"
"Who handles student grievances in the college?","College Info"
"Why is my attendance low even though I attended all classes?","Attendance"
"Where do I pay exam fees?","Fees"
"What subjects are included in this course?","Course"
"What kind of questions can I ask?","General"
"What are the compulsory subjects in my course?","Course"
"How can I get help for a subject in my course?","Course"
"What are the cultural programs in college?","College Info"
"Where can I check my assignment submission status?","Assignment"
"Is the library fee included in the semester fee?","Fees"
"Does the college offer elective subjects in the 5th semester for CSIT?","College Info"
"How do I update my guardian's contact number?","User Info"
